#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig,Ratio_Integrated_to_Peak,CORNISH,Distance (kpc),Physical size
G010.3009-00.1477,10.30088,-0.1477,272.23311,-20.09871,0.14,0.14,56.37,5.04,631.39,59.3,5.452,0.007,5.2,,,,,,,0.87,0.043,64.1,P,0,1,0,1,1,0,1,0,0,11.200816,G010.3009-00.1477,2.4,0.06343684
G010.3204-00.2586,10.32042,-0.25857,272.34701,-20.13525,0.11,0.12,14.61,1.5,18.2,2.26,1.674,0.069,,1.869,0.118,1.5,0.079,175.565,8.953,0.71,-0.117,20.7,G,0,0,0,1,0,0,0,0,0,1.2457222,G010.3204-00.2586,3.5,0.028405206
G010.4724+00.0275,10.47236,0.0275,272.15907,-19.86382,0.56,0.54,22.34,2.01,38.43,4.38,2.243,0.018,1.7,,,,,,,0.41,-0.01,53.2,P,0,1,0,0,1,0,0,1,0,1.7202327,G010.4724+00.0275,11.0,0.11961797
G010.4736+00.0274,10.47363,0.02744,272.15965,-19.86267,0.9,0.93,12.3,1.14,19.3,2.39,2.028,0.025,1.4,,,,,,,0.41,-0.002,28.8,P,0,1,0,0,1,0,0,1,0,1.5691056,G010.4736+00.0274,11.0,0.108152136
G010.6218-00.3848,10.6218,-0.38476,272.61978,-19.93235,0.73,0.66,16.81,1.58,37.06,4.04,2.292,0.021,1.7,,,,,,,0.64,-0.096,25.1,P,0,1,0,1,1,0,1,1,0,2.2046402,G010.6218-00.3848,2.4,0.026668608
G010.6223-00.3788,10.62231,-0.37877,272.61473,-19.92937,0.16,0.15,97.9,8.72,483.33,49.87,5.758,0.013,5.6,,,,,,,0.61,-0.013,158.9,P,0,1,0,1,1,0,1,1,0,4.9369764,G010.6223-00.3788,2.4,0.06699731
G010.6234-00.3837,10.6234,-0.38369,272.6196,-19.93031,0.1,0.1,305.58,27.2,1952.22,176.18,4.638,0.002,4.4,,,,,,,0.64,-0.078,477.1,P,0,1,0,1,1,0,1,1,0,6.3885727,G010.6234-00.3837,2.4,0.053965535
G010.6240-00.3813,10.62398,-0.38128,272.61745,-19.92877,0.44,0.43,38.23,3.44,71.65,7.24,2.083,0.012,1.4,,,,,,,0.63,-0.051,59.6,P,0,1,0,1,1,0,1,1,0,1.8741826,G010.6240-00.3813,2.4,0.024236782
G010.6297-00.3380,10.62969,-0.33799,272.58012,-19.90292,0.24,0.34,4.98,0.71,26.39,4.29,3.453,0.31,3.1,4.124,0.552,2.892,0.346,164.642,13.199,0.55,0.025,8.5,G,0,0,0,1,1,0,1,0,0,5.2991967,G010.6297-00.3380,4.95,0.08286597
G010.9584+00.0221,10.95839,0.02206,272.4141,-19.4411,0.16,0.16,109.11,9.72,195.97,18.33,2.201,0.004,1.6,,,,,,,0.4,0.04,269.8,P,0,0,0,0,1,0,0,0,1,1.7960774,G010.9584+00.0221,13.7,0.14618912
G010.9656+00.0089,10.96557,0.00889,272.42943,-19.44128,0.54,0.52,7.86,0.74,51.75,6.1,4.883,0.03,4.6,,,,,,,0.44,-0.052,17.0,P,0,0,0,0,1,0,1,0,1,6.583969,G010.9656+00.0089,2.7,0.06391826
G011.0328+00.0274,11.03283,0.02738,272.4473,-19.37342,0.15,0.19,3.58,0.49,5.69,1.06,1.891,0.155,1.2,2.236,0.29,1.599,0.161,153.839,11.698,0.34,-0.009,9.8,G,0,0,0,0,1,0,1,0,0,1.5893855,G011.0328+00.0274,2.6,0.023836326
G011.1104-00.3985,11.11043,-0.39851,272.88328,-19.51157,0.13,0.13,51.55,4.59,305.37,28.55,8.355,0.01,8.2,,,,,,,0.38,-0.046,135.0,P,0,0,0,0,0,0,0,0,0,5.9237633,G011.1104-00.3985,16.8,0.6805032
G011.9032-00.1407,11.90321,-0.14074,273.04691,-18.69187,0.19,0.19,5.59,0.65,25.57,3.3,3.208,0.192,2.8,3.494,0.304,2.946,0.242,139.238,18.816,0.43,0.012,13.9,G,0,1,0,0,0,0,1,1,0,4.5742397,G011.9032-00.1407,4.1,0.06376651
G011.9039-00.1411,11.90393,-0.14108,273.0476,-18.6914,0.11,0.11,11.11,1.1,16.81,1.88,1.845,0.064,1.1,1.855,0.092,1.835,0.09,150.497,90.0,0.43,0.032,25.3,G,0,1,0,0,0,0,1,1,0,1.5130513,G011.9039-00.1411,4.1,0.036673695
G011.9368-00.6158,11.93677,-0.61577,273.50458,-18.88987,0.1,0.1,163.93,14.59,1155.9,105.38,5.886,0.003,5.7,,,,,,,0.35,-0.001,470.9,P,0,0,0,0,1,0,1,0,0,7.051181,G011.9368-00.6158,4.0,0.11414443
G011.9446-00.0369,11.94458,-0.03686,272.97191,-18.60485,0.11,0.12,61.58,5.48,943.58,98.5,14.64,0.014,14.6,,,,,,,0.46,-0.02,134.3,P,0,0,0,1,0,0,1,0,0,15.322832,G011.9446-00.0369,12.6,0.8943059
G012.1988-00.0345,12.1988,-0.03447,273.09839,-18.38157,0.11,0.11,19.68,1.82,62.71,5.92,2.677,0.061,2.2,2.739,0.088,2.618,0.083,9.5,22.175,0.49,0.005,39.2,G,0,0,0,1,0,0,1,0,0,3.1864836,G012.1988-00.0345,11.9,0.15444356
G012.2081-00.1019,12.20806,-0.10189,273.16539,-18.40592,0.18,0.18,72.18,6.43,207.87,19.73,2.841,0.006,2.4,,,,,,,0.48,-0.004,149.5,P,0,0,0,1,0,0,1,0,0,2.8798835,G012.2081-00.1019,13.6,0.18732022
G012.4294-00.0479,12.4294,-0.04791,273.22738,-18.18573,0.11,0.11,13.78,1.29,45.17,4.35,2.716,0.069,2.3,2.852,0.103,2.587,0.091,113.008,12.016,0.38,-0.011,40.2,G,0,0,0,0,0,0,0,0,0,3.277939,G012.4294-00.0479,13.9,0.18302862
G012.4317-01.1112,12.43168,-1.1112,274.21336,-18.69117,0.54,0.54,9.67,0.91,69.01,9.5,4.398,0.032,4.1,,,,,,,0.5,-0.026,18.4,P,0,0,0,1,1,0,0,0,0,7.1365047,G012.4317-01.1112,4.1,0.087420546
G012.8050-00.2007,12.805,-0.20067,273.55816,-17.92913,0.1,0.1,287.9,25.63,12616.4,1120.83,16.225,0.005,16.2,,,,,,,3.8,0.274,74.7,P,0,0,0,1,0,0,0,0,0,43.822163,G012.8050-00.2007,2.1,0.16518798
G012.8131-00.1976,12.8131,-0.19759,273.55902,-17.92105,0.2,0.25,131.04,11.82,1500.39,147.3,5.431,0.012,5.2,,,,,,,3.84,0.118,33.2,P,0,0,0,1,0,0,0,0,0,11.449863,G012.8131-00.1976,2.1,0.05529343
G012.9995-00.3583,12.99951,-0.3583,273.80075,-17.83354,0.27,0.3,4.76,0.74,20.14,3.7,3.086,0.319,2.7,3.247,0.483,2.933,0.42,159.669,56.331,0.64,-0.105,8.6,G,0,0,0,1,0,0,1,0,0,4.231092,G012.9995-00.3583,1.9,0.028426537
G013.2099-00.1428,13.20989,-0.14281,273.70837,-17.54569,0.11,0.11,40.72,3.63,946.76,87.46,8.347,0.005,8.2,,,,,,,0.43,-0.077,94.3,P,0,0,0,0,0,0,0,0,0,23.25049,G013.2099-00.1428,4.6,0.18614985
G013.3850+00.0684,13.38496,0.06835,273.60252,-17.29232,0.12,0.12,10.49,0.94,603.94,60.83,19.177,0.015,19.1,,,,,,,0.54,0.201,18.3,P,0,0,0,1,0,0,0,0,0,57.57293,G013.3850+00.0684,1.9,0.17664799
G013.8726+00.2818,13.87258,0.28179,273.6492,-16.76033,0.11,0.11,24.71,2.21,1447.55,129.84,15.43,0.009,15.4,,,,,,,0.87,0.043,27.5,P,0,0,0,1,0,0,0,0,0,58.58155,G013.8726+00.2818,4.4,0.32914943
G014.2460-00.0728,14.24596,-0.07284,274.15956,-16.60171,0.5,0.5,11.4,1.04,51.26,6.18,3.935,0.026,3.6,,,,,,,0.39,-0.018,28.6,P,0,0,0,0,0,0,0,0,0,4.4964914,G014.2460-00.0728,11.6,0.22129785
G014.5988+00.0198,14.59881,0.01985,274.2492,-16.24706,0.16,0.27,2.89,0.48,4.39,1.09,1.848,0.213,1.1,2.277,0.426,1.5,0.202,6.654,12.569,0.38,-0.017,7.3,G,0,0,0,0,1,0,0,0,0,1.519031,G014.5988+00.0198,2.8,0.025086176
G014.7785-00.3328,14.77849,-0.33278,274.66124,-16.25621,1.0,0.99,11.02,1.02,18.25,2.47,2.305,0.032,1.8,,,,,,,0.39,-0.012,27.6,P,0,0,0,0,0,0,0,0,0,1.6560798,G014.7785-00.3328,13.1,0.1463918
G016.1448+00.0088,16.14482,0.00876,275.01917,-14.89054,0.1,0.11,13.02,1.23,14.76,1.55,1.597,0.044,,1.7,0.069,1.5,0.056,145.899,10.211,0.48,-0.328,26.1,G,0,0,0,1,0,0,1,0,0,1.1336405,G016.1448+00.0088,12.4,0.09600659
G016.9445-00.0738,16.94449,-0.07379,275.48343,-14.22393,0.11,0.11,97.73,8.7,519.34,47.78,3.458,0.003,3.1,,,,,,,0.31,0.047,312.3,P,0,0,0,0,0,0,1,0,0,5.3140287,G016.9445-00.0738,17.0,0.2850023
G017.0299-00.0696,17.02987,-0.06955,275.52106,-14.14664,0.26,0.26,2.12,0.32,5.38,1.06,2.388,0.241,1.9,3.216,0.528,1.773,0.208,135.976,7.43,0.26,0.015,8.9,G,0,0,0,0,0,0,1,0,0,2.537736,G017.0299-00.0696,10.4,0.12040433
G017.1141-00.1124,17.11407,-0.11236,275.60081,-14.09242,0.19,0.14,4.82,0.55,17.21,2.19,2.835,0.157,2.4,3.294,0.274,2.44,0.179,92.23,9.394,0.33,0.063,16.0,G,0,0,0,0,0,0,0,0,0,3.570539,G017.1141-00.1124,10.4,0.14294232
G017.5549+00.1654,17.55493,0.16536,275.56158,-13.57277,0.17,0.19,3.29,0.44,7.13,1.22,2.208,0.175,1.6,2.359,0.275,2.067,0.223,5.945,32.395,0.3,-0.006,10.9,G,0,0,0,0,0,0,0,0,0,2.1671734,G017.5549+00.1654,14.1,0.15093593
G017.9850+00.1266,17.98501,0.12662,275.80424,-13.21118,0.35,0.41,1.85,0.32,10.42,2.07,3.558,0.431,3.2,3.818,0.668,3.316,0.556,1.947,47.633,0.28,-0.01,8.1,G,0,0,0,0,0,0,0,0,0,5.6324325,G017.9850+00.1266,0.0,0.0
G018.1460-00.2839,18.14602,-0.2839,276.2532,-13.25764,0.12,0.12,10.54,0.94,856.18,82.85,23.421,0.02,23.4,,,,,,,0.6,-0.035,16.5,P,0,0,0,1,0,0,1,0,0,81.2315,G018.1460-00.2839,4.3,0.48825687
G018.3024-00.3910,18.30241,-0.39103,276.42626,-13.17194,0.1,0.1,48.02,4.27,1277.88,114.83,14.634,0.004,14.6,,,,,,,0.29,-0.019,164.5,P,0,0,0,0,0,0,1,0,0,26.611412,G018.3024-00.3910,3.0,0.2128427
G018.4433-00.0056,18.44328,-0.00558,276.14443,-12.86818,0.1,0.1,31.48,2.82,81.31,7.3,2.411,0.037,1.9,2.421,0.053,2.4,0.053,179.09,42.011,0.24,-0.016,124.1,G,0,0,0,0,0,0,0,0,0,2.5829098,G018.4433-00.0056,12.0,0.14026617
G018.4614-00.0038,18.46141,-0.00378,276.15139,-12.85133,0.11,0.11,121.64,10.83,342.12,31.5,2.759,0.003,2.3,,,,,,,0.24,-0.006,499.7,P,0,0,0,0,0,0,0,0,0,2.8125618,G018.4614-00.0038,12.1,0.16184957
G018.6654+00.0294,18.66539,0.02935,276.21925,-12.65552,0.12,0.14,4.19,0.48,5.65,0.85,1.742,0.101,,1.923,0.169,1.578,0.118,23.947,14.702,0.29,-0.041,13.8,G,0,0,0,0,0,0,0,0,0,1.3484486,G018.6654+00.0294,10.9,0.09205536
G018.7106+00.0002,18.71061,2.2E-4,276.26724,-12.62916,0.21,0.2,71.64,6.38,107.46,10.62,2.042,0.007,1.4,,,,,,,0.32,-0.017,222.6,P,0,0,0,0,0,0,0,0,0,1.5,G018.7106+00.0002,2.6,0.025739701
G018.7612+00.2630,18.76118,0.26298,276.05359,-12.46157,0.1,0.1,36.07,3.24,51.38,4.67,1.79,0.03,,1.842,0.043,1.74,0.04,75.82,8.333,0.45,-0.192,78.9,G,0,0,0,1,0,0,1,0,0,1.4244525,G018.7612+00.2630,14.0,0.1214942
G018.8250-00.4675,18.82499,-0.46749,276.74605,-12.74616,0.22,0.25,4.02,0.61,11.41,2.17,2.527,0.25,2.0,2.892,0.431,2.208,0.286,33.004,19.0,0.48,0.337,7.5,G,0,0,0,1,0,0,1,0,0,2.8383083,G018.8250-00.4675,4.5,0.055130538
G018.8338-00.3002,18.83384,-0.30024,276.59838,-12.66131,0.16,0.16,29.02,2.58,131.38,13.35,6.718,0.012,6.5,,,,,,,0.21,0.008,140.3,P,0,0,0,0,1,0,0,0,0,4.5272226,G018.8338-00.3002,12.6,0.4103789
G019.0035+00.1280,19.00347,0.12803,276.29172,-12.31051,0.3,0.37,1.91,0.35,6.41,1.52,2.751,0.372,2.3,3.069,0.616,2.466,0.448,23.858,33.142,0.28,-0.01,7.1,G,0,0,0,0,0,0,0,0,0,3.356021,G019.0035+00.1280,11.3,0.1507105
G019.0754-00.2874,19.07543,-0.28737,276.7018,-12.44112,0.15,0.14,23.43,2.09,380.69,37.06,8.489,0.013,8.4,,,,,,,0.5,-0.046,45.6,P,0,1,0,1,0,0,1,1,0,16.247972,G019.0754-00.2874,4.6,0.18931665
G019.0767-00.2882,19.07672,-0.2882,276.70364,-12.43985,0.25,0.27,62.94,5.61,129.48,13.15,2.527,0.01,2.0,,,,,,,0.49,-0.075,128.1,P,0,1,0,1,0,0,1,1,0,2.0571973,G019.0767-00.2882,4.6,0.05635566
G019.4752+00.1728,19.47525,0.17281,276.47628,-11.87262,0.6,0.59,7.03,0.66,37.22,4.56,3.743,0.028,3.4,,,,,,,0.35,-0.041,19.2,P,0,0,0,0,0,0,0,0,0,5.294452,G019.4752+00.1728,14.1,0.2558665
G019.6087-00.2351,19.60873,-0.23507,276.90944,-11.94335,0.1,0.1,153.16,13.63,2900.88,260.93,13.108,0.003,13.0,,,,,,,0.56,0.041,273.7,P,0,1,0,1,1,0,0,1,0,18.940191,G019.6087-00.2351,12.7,0.8070763
G019.6090-00.2313,19.60899,-0.23126,276.90585,-11.94221,0.22,0.21,89.71,7.99,259.95,26.87,3.84,0.011,3.5,,,,,,,0.58,0.039,153.4,P,0,1,0,1,1,0,0,1,0,2.8976705,G019.6090-00.2313,12.7,0.2364337
G019.7281-00.1135,19.72806,-0.11354,276.85563,-11.78231,0.53,0.53,6.16,0.57,26.23,3.09,3.364,0.023,3.0,,,,,,,0.22,-0.006,26.6,P,0,0,0,0,1,0,0,0,0,4.2581167,G019.7281-00.1135,4.3,0.07012921
G019.7549-00.1282,19.7549,-0.12817,276.88169,-11.7652,0.1,0.1,30.71,2.74,36.52,3.29,1.636,0.025,,1.696,0.037,1.578,0.034,44.489,4.381,0.25,-0.009,121.5,G,0,0,0,0,1,0,0,0,0,1.1891892,G019.7549-00.1282,9.3,0.07376336
G020.0720-00.1421,20.07196,-0.14208,277.04491,-11.49079,0.18,0.14,39.74,3.54,210.13,21.54,5.386,0.013,5.2,,,,,,,0.39,-0.043,101.1,P,0,1,0,0,0,0,0,1,0,5.2876196,G020.0720-00.1421,12.6,0.3290117
G020.0797-00.1337,20.07973,-0.13366,277.04088,-11.48019,0.15,0.13,6.74,0.76,14.09,1.91,2.168,0.12,1.6,2.418,0.201,1.945,0.142,105.471,12.913,0.47,0.012,13.5,G,0,1,0,1,0,0,0,1,0,2.0905046,G020.0797-00.1337,12.6,0.13243546
G020.0809-00.1362,20.0809,-0.13617,277.04343,-11.48024,0.11,0.12,137.0,12.2,498.19,45.06,2.977,0.002,2.6,,,,,,,0.39,-0.043,349.1,P,0,1,0,0,0,0,0,1,0,3.6364233,G020.0809-00.1362,12.6,0.18185441
G020.3633-00.0136,20.36326,-0.01355,277.06668,-11.17339,0.38,0.38,16.35,1.47,55.11,5.93,2.926,0.015,2.5,,,,,,,0.33,0.002,48.8,P,0,0,0,0,0,0,0,0,0,3.3706422,G020.3633-00.0136,3.9,0.055323977
G020.7619-00.0646,20.7619,-0.06464,277.30151,-10.844,0.28,0.22,3.72,0.6,10.03,2.08,2.463,0.269,2.0,2.769,0.454,2.19,0.317,106.74,24.531,0.5,0.164,7.3,G,0,0,0,1,0,0,1,0,0,2.6962364,G020.7619-00.0646,11.8,0.1409032
G020.9636-00.0744,20.96361,-0.07435,277.40552,-10.66981,0.15,0.25,4.11,0.55,11.28,1.84,2.486,0.197,2.0,3.109,0.385,1.987,0.195,179.638,8.416,0.37,0.02,10.4,G,0,0,0,0,0,0,0,0,0,2.7445254,G020.9636-00.0744,13.2,0.15909243
G021.3571-00.1766,21.35708,-0.17658,277.6831,-10.36851,0.1,0.1,15.35,1.4,24.93,2.34,1.912,0.038,1.2,1.999,0.058,1.828,0.051,119.144,8.762,0.28,-0.006,53.4,G,0,0,0,0,1,0,0,0,0,1.6241043,G021.3571-00.1766,10.3,0.09547718
G021.3855-00.2541,21.38554,-0.25408,277.76635,-10.37924,0.21,0.21,62.56,5.57,113.91,11.24,2.22,0.007,1.6,,,,,,,0.33,-0.019,186.9,P,0,0,0,0,1,0,0,0,0,1.820812,G021.3855-00.2541,10.3,0.110857405
G021.6034-00.1685,21.60344,-0.16854,277.79167,-10.14628,1.07,1.03,4.17,0.43,19.84,3.45,3.742,0.053,3.4,,,,,,,0.33,-0.001,11.7,P,0,0,0,0,0,0,0,0,0,4.757794,G021.6034-00.1685,16.2,0.29389572
G021.8751+00.0075,21.87515,0.00752,277.76035,-9.82522,0.11,0.11,19.52,1.74,566.73,54.14,11.479,0.009,11.4,,,,,,,0.33,-0.012,57.6,P,0,0,0,0,0,0,0,0,0,29.033297,G021.8751+00.0075,13.8,0.7679936
G023.1974-00.0006,23.19742,-5.9E-4,278.38714,-8.65511,0.16,0.17,4.34,0.54,10.01,1.54,2.277,0.157,1.7,2.415,0.243,2.148,0.202,0.867,31.774,0.35,-0.016,11.6,G,0,0,0,0,0,0,0,0,0,2.3064516,G023.1974-00.0006,4.8,0.052988146
G023.2654+00.0765,23.26542,0.07647,278.34964,-8.55957,0.29,0.29,19.24,1.72,88.57,9.87,4.585,0.017,4.3,,,,,,,0.32,-0.007,59.4,P,0,0,0,0,1,0,0,0,0,4.6034303,G023.2654+00.0765,4.9,0.108920574
G023.4553-00.2010,23.45526,-0.20096,278.68716,-8.51864,0.11,0.11,11.02,1.07,14.39,1.56,1.714,0.054,,1.797,0.082,1.635,0.07,28.843,16.287,0.4,-0.071,28.5,G,0,0,0,0,0,0,1,0,0,1.3058076,G023.4553-00.2010,5.8,0.048196252
G023.4835+00.0964,23.4835,0.09643,278.43349,-8.35653,0.16,0.19,4.01,0.53,8.23,1.39,2.149,0.166,1.5,2.351,0.271,1.964,0.202,167.878,22.552,0.36,-0.02,11.4,G,0,0,0,0,0,0,0,0,0,2.0523689,G023.4835+00.0964,5.2,0.054176904
G023.7110+00.1705,23.71104,0.17046,278.47279,-8.12047,0.22,0.22,30.76,2.76,208.5,20.34,4.69,0.012,4.4,,,,,,,0.6,-0.081,50.7,P,0,0,0,1,0,0,0,1,0,6.7782836,G023.7110+00.1705,6.5,0.1477953
